Name,Date,Rate
"No Time to Die",2021,7.6
The Guilty,2021,6.3
The Many Saints of Newark,2021,6.4
Venom: Let There Be Carnage,2021,6.4
Dune,2021,8.3
Ted Lasso,2021,8.8
Free Guy,2021,7.3
House of the Dragon,2021,No Rate
What If...?,2021,7.6
Sex Education,2021,8.3
The Walking Dead,2021,8.2
The Chestnut Man,2021,7.9
Foundation,2021,7.4
The Sopranos,2021,9.2
Only Murders in the Building,2021,8.3
American Horror Story,2021,8.0
Seinfeld,2021,8.8
Grey's Anatomy,2021,7.5
Game of Thrones,2021,9.2
Black Widow,2021,6.8
The Last Duel,2021,7.7
Alice in Borderland,2021,7.7
Shang-Chi and the Legend of the Ten Rings,2021,7.9
Billions,2021,8.4
Resident Evil: Welcome to Raccoon City,2021,No Rate
Spectre,2015,6.8
Casino Royale,2006,8.0
Lucifer,2006,8.1
The Morning Show,2006,8.4
Halloween Kills,2021,6.1
There's Someone Inside Your House,2021,4.8
Malignant,2021,6.3
Wolf,2021,4.1
La casa de papel,2021,8.2
"Tick, Tick... Boom!",2021,No Rate
The Night House,2020,6.5
Succession,2020,8.7
La Brea,2020,5.2
Venom,2018,6.7
Skyfall,2012,7.8
NCIS: Naval Criminal Investigative Service,2012,7.7
See,2012,7.6
The Addams Family 2,2021,5.3
Big Sky,2021,6.8
Peaky Blinders,2021,8.8
What We Do in the Shadows,2021,8.5
Titane,2021,7.2
American Crime Story,2021,8.4
CSI: Vegas,2021,7.8
Stranger Things,2021,8.7
Titans,2021,7.6
Goliath,2021,8.2
Breaking Bad,2021,9.4
On My Block,2021,8.0
Old,2021,5.8
Y: The Last Man,2021,6.3
The Rookie,2021,8.0
No One Gets Out Alive,2021,5.3
Law & Order: Special Victims Unit,2021,8.0
Hocus Pocus,1993,6.9
The Office,1993,8.9
Chicago Fire,1993,8.0
Dune,1984,6.4
You,1984,7.7
Den skyldige,2018,7.5
Quantum of Solace,2008,6.6
Doom Patrol,2008,7.9
Yellowstone,2008,8.6
