name,date,rate,votes,genre,duration,type,certificate,nudity,violence
"#Saraitda",2020,6.3,32672,"Action, Drama, Horro",98,film,TV-MA,none,moderate
"'Allo 'Allo!",2021,8.3,24463,"Comedy, History, Wa",45,series,unknown,no rate,no rate
"10",1979,6.1,17216,"Comedy, Romanc",122,film,R,severe,none
"10 Cloverfield Lane",2016,7.2,306304,"Action, Drama, Horro",103,film,PG-13,none,moderate
"10 Things I Hate About You",1999,7.3,315247,"Comedy, Drama, Romanc",97,film,PG-13,mild,mild
"10 Years",2011,6.1,25016,"Comedy, Drama, Romanc",110,film,PG-13,mild,none
"101 Dalmatians",1996,5.7,107992,"Adventure, Comedy, Crim",103,film,G,none,mild
"12 Angry Men",1957,9,732301,"Crime, Dram",96,film,unknown,none,none
"12 Mighty Orphans",2021,6.8,2576,"History, Spor",118,film,PG-13,mild,mild
"12 Monkeys",2000,7.7,42680,"Adventure, Drama, Myster",42,series,TV-14,mild,moderate
"12 Strong",2018,6.6,74061,"Action, Drama, Histor",130,film,R,none,severe
"12 Years a Slave",2013,8.1,666564,"Biography, Drama, Histor",134,film,R,severe,severe
"127 Hours",2010,7.5,361435,"Biography, Dram",94,film,R,mild,severe
"13 Ghosts",1960,6.1,5929,"Horror, Myster",85,film,unknown,none,mild
