name,date,rate,votes,genre,duration,type,certificate,nudity,violence
"#Saraitda",2020,6.3,32672,"Action, Drama, Horror",98,film,TV-MA,none,moderate
"'Allo 'Allo!",2021,8.3,24463,"Comedy, History, War",45,series,unknown,no rate,no rate
"(500) Days of Summer",2009,7.7,489549,"Comedy, Drama, Romance",95,film,PG-13,mild,mild
"10",1979,6.1,17216,"Comedy, Romance",122,film,R,severe,none
"10 Cloverfield Lane",2016,7.2,306304,"Action, Drama, Horror",103,film,PG-13,none,moderate
"10 Things I Hate About You",1999,7.3,315247,"Comedy, Drama, Romance",97,film,PG-13,mild,mild
"10 Years",2011,6.1,25016,"Comedy, Drama, Romance",110,film,PG-13,mild,none
"101 Dalmatians",1996,5.7,107992,"Adventure, Comedy, Crime",103,film,G,none,mild
"12 Angry Men",1957,9,732301,"Crime, Drama",96,film,unknown,none,none
"12 Mighty Orphans",2021,6.8,2576,"History, Sport",118,film,PG-13,mild,mild
"12 Monkeys",2000,7.7,42680,"Adventure, Drama, Mystery",42,series,TV-14,mild,moderate
"12 Strong",2018,6.6,74061,"Action, Drama, History",130,film,R,none,severe
"12 Years a Slave",2013,8.1,666564,"Biography, Drama, History",134,film,R,severe,severe
"127 Hours",2010,7.5,361435,"Biography, Drama",94,film,R,mild,severe
"13 Ghosts",1960,6.1,5929,"Horror, Mystery",85,film,unknown,none,mild
"13 Going on 30",2004,6.2,177951,"Comedy, Fantasy, Romance",98,film,PG-13,mild,none
"13 Hours",2016,7.3,129966,"Action, Drama, History",144,film,R,none,severe
"13 Minutes (II)",2021,0,0,"Action, Drama, Thriller",108,film,PG-13,no rate,no rate
"13 Reasons Why",2005,7.5,271324,"Drama, Mystery, Thriller",60,series,TV-MA,severe,severe
"1408",2007,6.8,262802,"Fantasy, Horror, Mystery",104,film,PG-13,mild,moderate
"17 Again",2009,6.4,189984,"Comedy, Drama, Fantasy",102,film,PG-13,moderate,mild
"1917",2019,8.3,497055,"Action, Drama, War",119,film,R,none,severe
"1922",2017,6.3,58261,"Crime, Drama, Horror",102,film,TV-MA,none,severe
"2 Broke Girls",2004,6.6,93543,"Comedy",22,series,TV-14,moderate,none
"2 Days in the Valley",1996,6.5,19269,"Comedy, Crime, Thriller",104,film,R,moderate,moderate
"2 Fast 2 Furious",2003,5.9,263585,"Action, Crime, Thriller",107,film,PG-13,mild,moderate
"2 Guns",2013,6.7,204313,"Action, Comedy, Crime",109,film,R,moderate,severe
"2001: A Space Odyssey",1968,8.3,631754,"Adventure, Sci-Fi",149,film,G,none,mild
"2010: The Year We Make Contact",1984,6.8,51553,"Adventure, Mystery, Sci-Fi",116,film,PG,none,none
"2012",2009,5.8,364536,"Action, Adventure, Sci-Fi",158,film,PG-13,mild,moderate
"2067",2020,4.9,7658,"Sci-Fi",114,film,unknown,none,moderate
"21",2008,6.8,238789,"Crime, Drama, History",123,film,PG-13,mild,moderate
"21 Bridges",2019,6.6,58358,"Action, Crime, Thriller",99,film,R,none,severe
"21 Grams",2003,7.6,231052,"Crime, Drama, Thriller",124,film,R,moderate,moderate
"21 Jump Street",2012,7.2,528589,"Action, Comedy, Crime",109,film,R,moderate,moderate
"22 Jump Street",2014,7,358915,"Action, Comedy, Crime",112,film,R,moderate,moderate
"24",2013,8.3,178609,"Action, Crime, Drama",44,series,TV-14,mild,severe
"27 Dresses",2008,6.1,158973,"Comedy, Romance",111,film,PG-13,mild,none
"28 Days Later...",2002,7.6,393805,"Drama, Horror, Sci-Fi",113,film,R,moderate,severe
"28 Weeks Later",2007,6.9,267072,"Horror, Sci-Fi",100,film,R,mild,severe
"3 Idiots",2009,8.4,369115,"Comedy, Drama",170,film,PG-13,mild,mild
"3 from Hell",2019,5.5,13273,"Action, Horror",115,film,R,severe,severe
"3%",2000,7.4,23644,"Action, Drama, Sci-Fi",49,series,TV-MA,mild,moderate
"30 Days of Night",2007,6.6,170844,"Action, Horror, Thriller",113,film,R,none,severe
"30 Rock",1984,8.2,116862,"Comedy",22,series,TV-14,mild,mild
"300",2006,7.6,758693,"Action, Drama",117,film,R,moderate,severe
"300: Rise of an Empire",2014,6.2,289295,"Action, Drama",102,film,R,severe,severe
"31",2016,5.1,19664,"Horror, Thriller",102,film,unknown,no rate,no rate
"365 dni",2020,3.3,67739,"Drama, Romance",114,film,TV-MA,severe,mild
"37°2 le matin",1986,7.4,20377,"Drama, Romance",185,film,unknown,severe,moderate
"3:10 to Yuma",2007,7.7,298596,"Action, Crime, Drama",122,film,R,mild,severe
"3rd Rock from the Sun",2020,7.7,49671,"Comedy, Family, Sci-Fi",60,series,TV-PG,mild,none
"40 Days and 40 Nights",2002,5.6,72475,"Comedy, Romance",96,film,R,severe,none
"42",2013,7.5,90626,"Biography, Drama, Sport",128,film,PG-13,none,none
"4400",2016,0,0,"Drama, Sci-Fi",0,series,unknown,no rate,no rate
"47 Meters Down",2017,5.7,52097,"Adventure, Drama, Horror",89,film,PG-13,none,moderate
